x_m	y_m	psi_m	psi_error	x_error	y_error	Absolute Time	tau_commanded_psi	tau_commanded_x	tau_commanded_y	tau_psi	tau_surge	tau_sway	psi_ref_filter	x_ref_filter	y_ref_filter
1496,931835	-493,794155	0,363139	0,198503	0,006049	0,003013	3584087420,992231	-0,002947	-0,000381	0,000076	-0,000693	0,000284	0,001054	0,000000	1490,212216	-496,763499
1497,308076	-493,816432	0,352579	0,193401	0,006293	0,002987	3584087421,002234	-0,002925	-0,000357	0,000090	-0,000675	0,000198	0,001060	0,000000	1490,231337	-496,757872
1497,308076	-493,816432	0,352579	0,190328	0,006433	0,002969	3584087421,012234	-0,002902	-0,000333	0,000105	-0,000664	0,000149	0,001064	0,000000	1490,250359	-496,752191
1497,737303	-493,791708	0,341909	0,184300	0,006659	0,002947	3584087421,022234	-0,002878	-0,000309	0,000121	-0,000643	0,000070	0,001069	0,000000	1490,269282	-496,746457
1497,737303	-493,791708	0,341909	0,180668	0,006789	0,002931	3584087421,032233	-0,002855	-0,000287	0,000134	-0,000631	0,000024	0,001073	0,000000	1490,288104	-496,740670
1498,065327	-493,810398	0,329743	0,174259	0,007029	0,002929	3584087421,042234	-0,002833	-0,000267	0,000144	-0,000608	-0,000060	0,001074	0,000000	1490,306826	-496,734829
1498,065327	-493,810398	0,329743	0,170397	0,007167	0,002925	3584087421,052233	-0,002815	-0,000249	0,000150	-0,000595	-0,000109	0,001075	0,000000	1490,325448	-496,728935
1498,385280	-493,775016	0,317896	0,163257	0,007373	0,002913	3584087421,062235	-0,002797	-0,000232	0,000154	-0,000570	-0,000181	0,001078	0,000000	1490,343970	-496,722987
1498,385280	-493,775016	0,317896	0,158952	0,007491	0,002904	3584087421,072235	-0,002777	-0,000216	0,000157	-0,000555	-0,000222	0,001081	0,000000	1490,362391	-496,716985
1498,652387	-493,748246	0,303246	0,151671	0,007681	0,002910	3584087421,082236	-0,002756	-0,000199	0,000162	-0,000529	-0,000288	0,001080	0,000000	1490,380712	-496,710930
1498,652387	-493,748246	0,303246	0,147282	0,007789	0,002911	3584087421,092235	-0,002733	-0,000183	0,000166	-0,000514	-0,000326	0,001080	0,000000	1490,398934	-496,704820
1498,925295	-493,670051	0,289054	0,138840	0,007952	0,002919	3584087421,102235	-0,002709	-0,000168	0,000170	-0,000485	-0,000383	0,001079	0,000000	1490,417056	-496,698656
1498,925295	-493,670051	0,289054	0,133749	0,008044	0,002922	3584087421,112234	-0,002684	-0,000152	0,000174	-0,000467	-0,000415	0,001079	0,000000	1490,435080	-496,692438
1499,083926	-493,619020	0,270971	0,125065	0,008201	0,002952	3584087421,122237	-0,002657	-0,000137	0,000179	-0,000437	-0,000470	0,001073	0,000000	1490,453005	-496,686166
1499,083926	-493,619020	0,270971	0,119828	0,008288	0,002968	3584087421,132236	-0,002629	-0,000123	0,000183	-0,000418	-0,000500	0,001071	0,000000	1490,470833	-496,679840
1499,301647	-493,572438	0,252977	0,109515	0,008397	0,002995	3584087421,142237	-0,002600	-0,000108	0,000188	-0,000382	-0,000538	0,001065	0,000000	1490,488564	-496,673459
1499,301647	-493,572438	0,252977	0,103293	0,008456	0,003009	3584087421,152236	-0,002570	-0,000094	0,000193	-0,000361	-0,000558	0,001063	0,000000	1490,506199	-496,667023
1499,458571	-493,429457	0,234681	0,092421	0,008571	0,003033	3584087421,162237	-0,002539	-0,000080	0,000197	-0,000323	-0,000598	0,001058	0,000000	1490,523740	-496,660534
1499,458571	-493,429457	0,234681	0,085862	0,008633	0,003045	3584087421,172237	-0,002506	-0,000067	0,000202	-0,000300	-0,000619	0,001056	0,000000	1490,541186	-496,653990
1499,541696	-493,313694	0,214841	0,074667	0,008726	0,003106	3584087421,182238	-0,002473	-0,000053	0,000207	-0,000261	-0,000651	0,001044	0,000000	1490,558541	-496,647391
1499,541696	-493,313694	0,214841	0,067912	0,008776	0,003140	3584087421,192236	-0,002438	-0,000040	0,000212	-0,000237	-0,000668	0,001038	0,000000	1490,575803	-496,640738
1499,643908	-493,184733	0,192133	0,055987	0,008832	0,003204	3584087421,202239	-0,002403	-0,000028	0,000217	-0,000195	-0,000687	0,001025	0,000000	1490,592976	-496,634031
1499,643908	-493,184733	0,192133	0,048791	0,008859	0,003240	3584087421,212237	-0,002366	-0,000015	0,000222	-0,000170	-0,000696	0,001018	0,000000	1490,610060	-496,627269
1499,716446	-493,030260	0,172473	0,035465	0,008909	0,003310	3584087421,222239	-0,002329	-0,000003	0,000227	-0,000124	-0,000713	0,001005	0,000000	1490,627057	-496,620452
1499,716446	-493,030260	0,172473	0,027422	0,008933	0,003350	3584087421,232238	-0,002291	0,000009	0,000232	-0,000096	-0,000721	0,000997	0,000000	1490,643969	-496,613581
1499,709307	-492,899934	0,149205	0,014791	0,008969	0,003432	3584087421,242239	-0,002252	0,000021	0,000237	-0,000052	-0,000733	0,000981	0,000000	1490,660797	-496,606656
1499,709307	-492,899934	0,149205	0,007169	0,008984	0,003479	3584087421,252244	-0,002212	0,000032	0,000242	-0,000025	-0,000738	0,000972	0,000000	1490,677543	-496,599676
1499,696714	-492,779275	0,125051	-0,006637	0,008984	0,003556	3584087421,262239	-0,002171	0,000043	0,000247	0,000023	-0,000737	0,000956	0,000000	1490,694208	-496,592642
1499,696714	-492,779275	0,125051	-0,014969	0,008978	0,003600	3584087421,272239	-0,002130	0,000054	0,000252	0,000052	-0,000734	0,000948	0,000000	1490,710795	-496,585553
1499,696714	-492,779275	0,125051	-0,029554	0,008962	0,003671	3584087421,282234	-0,002087	0,000065	0,000257	0,000103	-0,000728	0,000934	0,000000	1490,727305	-496,578409
1499,628377	-492,633264	0,101450	-0,038357	0,008947	0,003711	3584087421,292240	-0,002044	0,000075	0,000262	0,000134	-0,000722	0,000926	0,000000	1490,743741	-496,571211
1499,539094	-492,481810	0,078876	-0,043666	0,008931	0,003733	3584087421,302241	-0,002000	0,000085	0,000266	0,000152	-0,000716	0,000922	0,000000	1490,760104	-496,563959
